chrom	chromStart	chromEnd	diff	direction
f	0	396	1000	reverse
r	0	396	1000	forward
1	100	568	468	forward
2	100	995	895	forward
3	100	228	128	forward
4	100	976	876	reverse
5	100	700	600	forward
6	100	397	297	forward
7	100	371	271	forward
8	100	428	328	reverse
9	100	1075	975	forward
10	100	290	190	forward
11	100	1935	1835	forward
12	100	351	251	reverse
13	100	7805	7705	reverse
14	100	217	117	reverse
15	100	352	252	forward
16	100	218	118	reverse
17	100	585	485	forward
18	100	566	466	forward
19	100	363	263	forward
20	100	363	263	forward
21	100	200	100	forward
22	100	542	442	forward
23	100	433	333	forward
24	100	462	362	reverse
25	100	250	150	forward
26	100	685	585	forward
27	100	547	447	reverse
28	100	490	390	reverse
29	100	511	411	forward
30	100	538	438	reverse
31	100	481	381	reverse
32	100	731	631	forward
33	100	680	580	forward
35	100	566	466	forward
36	100	393	293	forward
37	100	259	159	reverse
38	100	371	271	forward
39	100	245	145	reverse
40	100	404	304	forward
41	100	395	295	forward
42	100	788	688	reverse
43	100	240	140	forward
44	100	1014	914	reverse
45	100	1014	914	reverse
