chrom	chromStart	chromEnd	diff	direction
chr1	10000	10468	468	forward
chr1	180096	180991	895	forward
chr1	5137033	5137161	128	forward
chr1	248945546	248946422	876	reverse
chr2	10000	10600	600	forward
chr2	131812727	131813024	297	forward
chr2	132351778	132352049	271	forward
chr2	242183201	242183529	328	reverse
chr3	10000	10975	975	forward
chr4	10000	10190	190	forward
chr5	10000	11835	1835	forward
chr5	49531	49782	251	reverse
chr5	1041109	1048814	7705	reverse
chr5	2185082	2185199	117	reverse
chr7	10000	10252	252	forward
chr7	159335855	159335973	118	reverse
chr8	205251	205736	485	forward
chr9	10000	10466	466	forward
chr9	42635690	42635953	263	forward
chr9	62443141	62443404	263	forward
chr9	130165351	130165451	100	forward
chr10	10000	10442	442	forward
chr10	64277	64610	333	forward
chr10	133787060	133787422	362	reverse
chr11	80886839	80886989	150	forward
chr12	10000	10585	585	forward
chr12	133264867	133265314	447	reverse
chr13	114353937	114354327	390	reverse
chr14	100590371	100590782	411	forward
chr15	101980749	101981187	438	reverse
chr17	83247058	83247439	381	reverse
chr18	10000	10631	631	forward
chr18	63619	64199	580	forward
chr18	80262889	80263286	397	reverse
chr19	245536	246002	466	forward
chr19	17629838	17630131	293	forward
chr19	58607456	58607615	159	reverse
chr20	30584551	30584822	271	forward
chr21	46699836	46699981	145	reverse
chr22	12166151	12166455	304	forward
chr22	16403030	16403325	295	forward
chr22	50807783	50808471	688	reverse
chrX	74545881	74546021	140	forward
chrX	156029886	156030800	914	reverse
chrY	57216406	57217320	914	reverse
