chrom	chromStart	chromEnd	diff	direction
chr1	10000	10500	468	forward
chr1	180064	181023	895	forward
chr1	5137033	5137161	128	forward
chr1	248945514	248946422	876	reverse
chr2	10000	10632	600	forward
chr2	131812695	131813056	297	forward
chr2	132351746	132352081	271	forward
chr2	242183169	242183529	328	reverse
chr3	10000	11007	975	forward
chr4	10000	10222	190	forward
chr5	10000	11867	1835	forward
chr5	49499	49814	251	reverse
chr5	1041077	1048846	7705	reverse
chr5	2185050	2185231	117	reverse
chr7	10000	10284	252	forward
chr7	159335823	159335973	118	reverse
chr8	205219	205768	485	forward
chr9	10000	10498	466	forward
chr9	42635658	42635953	263	forward
chr9	62443109	62443436	263	forward
chr9	130165319	130165483	100	forward
chr10	10000	10474	442	forward
chr10	64245	64642	333	forward
chr10	133787028	133787422	362	reverse
chr11	80886807	80887021	150	forward
chr12	10000	10617	585	forward
chr12	133264835	133265314	447	reverse
chr13	114353905	114354327	390	reverse
chr14	100590339	100590814	411	forward
chr15	101980717	101981187	438	reverse
chr17	83247026	83247439	381	reverse
chr18	10000	10663	631	forward
chr18	63587	64231	580	forward
chr18	80262857	80263286	397	reverse
chr19	245504	246034	466	forward
chr19	17629806	17630163	293	forward
chr19	58607424	58607615	159	reverse
chr20	30584519	30584854	271	forward
chr21	46699804	46699981	145	reverse
chr22	12166119	12166487	304	forward
chr22	16402998	16403357	295	forward
chr22	50807751	50808471	688	reverse
chrX	74545849	74546053	140	forward
chrX	156029854	156030832	914	reverse
chrY	57216374	57217352	914	reverse
